rank,name,walk,transit_score,bike_score,population
1,Benton Park West,88, 43 , 63 ,"4,264"
2,Downtown,87, 64 , 61 ,"7,670"
3,Tower Grove East,85, 43 , 76 ,"5,880"
4,Soulard,85, 39 , 59 ,"3,429"
5,Gravois Park,84, 44 , 57 ,"5,170"
6,Benton Park,84, 42 , 57 ,"3,436"
7,Lafayette Square,82, 51 , 63 ,"2,056"
8,Forest Park Southeast,82, 55 , 78 ,"2,911"
9,Near Southside,81, 61 , 59 ,"2,360"
10,Fox Park,80, 40 , 62 ,"2,600"
11,Fountain Park,80, 46 , 53 ,"1,460"
12,The Hill,79, 34 , 57 ,"2,469"
13,Central West End,78, 53 , 65 ,"14,492"
14,McKinley Heights,78, 41 , 68 ,"1,475"
15,Tower Grove South,75, 40 , 62 ,"13,179"
16,LaSalle Park,75, 57 , 60 ,"1,292"
17,Marina Villa,74, 40 , 50 ,"2,721"
18,Academy - Sherman Park,73, 45 , 60 ,"2,800"
19,Compton Heights,73, 39 , 64 ,"1,235"
20,Dutchtown South,73, 43 , 53 ,"16,149"
21,Columbus Square,73, 58 , 61 ,"1,869"
22,Patch,72, 38 , 63 ,"2,876"
23,The Southampton,71, 39 , 55 ,"6,415"
24,Wydown Skinker,71, 43 , 82 ,"1,628"
25,Grand Center,70, 51 , 66 ,"3,492"
26,Southwest Garden,70, 34 , 65 ,"4,884"
27,Fairgrounds,68, 46 , 60 ,"1,859"
28,Midtown,68, 56 , 71 ,"5,825"
29,Northampton,67, 37 , 56 ,"7,762"
30,Kingsway East,67, 43 , 50 ,"3,545"
31,Princeton Heights,67, 39 , 55 ,"8,145"
32,Clayton-Tamm,66, 35 , 55 ,"2,310"
33,Bevo Mill,66, 37 , 62 ,"12,701"
34,Kingsway West,66, 42 , 51 ,"3,485"
35,Franz Park,65, 33 , 48 ,"2,376"
36,Jeff-Vander-Lou,65, 46 , 56 ,"5,489"
37,Old North St. Louis,64, 43 , 65 ,"1,917"
38,Shaw,64, 35 , 67 ,"6,746"
39,St. Louis Hills,64, 39 , 57 ,"7,430"
40,Lewis Place,63, 45 , 53 ,"1,666"
41,Holly Hills,63, 36 , 59 ,"3,718"
42,Skinker DeBaliviere,63, 58 , 76 ,"4,104"
43,The Gate,63, 39 , 55 ,"3,476"
44,Carr Square,61, 50 , 59 ,"2,847"
45,Hamilton Heights,61, 46 , 55 ,"3,044"
46,Lindenwood Park,61, 43 , 59 ,"9,492"
47,Visitation Park,61, 47 , 58 ,972
48,Greater Ville,61, 42 , 49 ,"6,147"
49,Mount Pleasant,61, 39 , 47 ,"4,245"
50,Vandeventer,60, 45 , 54 ,"1,648"
51,Hi-Pointe,60, 35 , 63 ,"2,156"
52,Carondelet,59, 39 , 57 ,"8,980"
53,Clifton Heights,59, 34 , 56 ,"3,066"
54,The Ville,59, 42 , 51 ,"1,918"
55,Hyde Park,59, 44 , 55 ,"2,610"
56,Walnut Park West,58, 41 , 52 ,"3,344"
57,O'Fallon Park,58, 44 , 54 ,"5,775"
58,Penrose,58, 43 , 44 ,"6,377"
59,McRee Town,57, 34 , 65 ,"1,090"
60,Ellendale,57, 33 , 55 ,"1,469"
61,St. Louis Place,56, 44 , 56 ,"2,887"
62,DeBaliviere Place,55, 56 , 75 ,"3,438"
63,College Hill,54, 45 , 56 ,"1,821"
64,West End,53, 51 , 50 ,"6,687"
65,North Pointe,52, 43 , 51 ,"3,864"
66,Baden,51, 46 , 48 ,"7,239"
67,Cheltenham,50, 35 , 53 ,527
68,Wells-Goodfellow,49, 43 , 48 ,"5,886"
69,Tiffany,48, 39 , 54 ,"1,006"
70,Mark Twain - I-70 Industrial,48, 39 , 47 ,"1,386"
71,Walnut Park East,45, 39 , 41 ,"4,138"
72,Boulevard Heights,43, 35 , 58 ,"8,385"
73,Mark Twain,40, 43 , 40 ,"4,159"
74,Near North Riverfront,38, 42 , 63 ,546
75,Riverview,21, 30 , 29 ,"3,374"
76,North Riverfront,17, 31 , 43 ,974
